ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
28711;-198.192.239;-439.801.314
28713;-199.384.716;-439.342.575
28718;-199.340.013;-440.165.907
28085;-19.935.756;-44.010.559
28429;-199.722.607;-439.443.825
28885;-198.346.925;-439.883.261
28117;-199.625.655;-439.916.218
28443;-198.464.555;-439.792.279
28907;-199.228.403;-439.258.327
28461;-199.741.654;-440.131.353
28148;-199.476.186;-439.353.593
28149;-199.267.096;-439.458.308
28795;-199.757.611;-440.143.761
27848;-199.303.247;-43.954.101
28505;-199.329.995;-439.456.478
28810;-199.109.127;-439.260.469
26684;-199.186.127;-439.513.912
27370;-198.373.712;-439.480.678
26693;-199.510.527;-439.349.668
26694;-199.389.826;-43.938.501
26695;-199.722.607;-439.443.825
26696;-19.972.979;-439.373.734
26697;-199.722.607;-439.443.825
27386;-19.926.274;-439.420.288
27398;-198.556.007;-439.468.091
27402;-199.158.595;-439.344.473
27414;-19.896.207;-439.066.033
26762;-199.666.081;-439.919.649
27440;-199.763.249;-439.717.068
27132;-199.248.104;-439.470.704
27139;-198.731.821;-440.095.978
27472;-199.375.617;-439.594.066
27752;-198.299.231;-439.791.637
27787;-199.205.115;-439.597.735
27789;-198.460.286;-439.765.992
27517;-19.924.622;-43.937.362
27535;-199.264.996;-439.662.255
26870;-199.301.151;-439.333.474
26880;-198.185.826;-439.481.408
26881;-19.873.171;-440.011.194
27590;-199.494.939;-439.235.873
27595;-19.927.818;-4.393.042
26601;-198.893.687;-439.301.428
26932;-20.006.825;-440.351.382
27319;-197.877.454;-439.888.051
27331;-199.217.543;-439.447.993
26659;-199.027.906;-43.969.674
27002;-199.120.954;-439.432.429
31445;-198.916.224;-440.178.538
31135;-199.233.531;-43.939.773
31524;-198.715.138;-440.159.893
31528;-199.957.393;-440.056.874
31529;-199.298.101;-439.567.296
30518;-199.009.999;-438.915.656
30525;-199.281.198;-439.473.471
30526;-199.202.497;-439.210.977
30527;-199.233.531;-43.939.773
30528;-198.902.883;-439.678.891
30529;-199.337.118;-439.718.101
30530;-199.763.249;-439.717.068
30531;-198.463.158;-439.737.447
30532;-199.740.672;-440.212.982
30534;-199.740.672;-440.212.982
30846;-198.530.076;-439.558.805
31171;-199.398.984;-439.318.961
31543;-19.896.207;-439.066.033
31546;-199.258.821;-43.944.422
31548;-199.755.422;-440.189.986
30542;-199.303.247;-43.954.101
30546;-200.007.751;-440.079.099
30564;-198.539.317;-439.831.829
30570;-199.281.198;-439.473.471
31679;-19.867.516;-440.062.616
30906;-199.841.166;-440.275.629
31225;-199.677.269;-439.786.889
31584;-19.950.821;-439.311.314
31634;-198.897.642;-4.393.999
30623;-199.571.651;-439.659.182
30960;-199.763.249;-439.717.068
31695;-199.093.894;-438.972.664
30649;-199.281.198;-439.473.471
31301;-199.226.105;-43.940.276
30684;-199.142.636;-439.406.593
31009;-199.571.651;-439.659.182
31010;-198.015.366;-439.476.604
31011;-198.810.499;-440.077.946
31324;-198.367.646;-439.718.757
31036;-199.387.179;-439.412.853
31513;-198.579.245;-439.389.316
30742;-199.438.547;-440.052.413
31074;-198.758.891;-439.975.744
30436;-199.180.923;-439.326.859
29610;-199.386.192;-439.336.176
29945;-198.599.232;-439.436.798
29948;-198.757.047;-439.974.135
29281;-198.463.582;-439.316.727
30291;-198.937.008;-439.362.949
29691;-199.396.503;-439.789.774
30055;-199.763.249;-439.717.068
30409;-198.672.525;-440.050.322
30420;-199.142.636;-439.406.593
30072;-199.201.706;-439.973.468
30358;-199.015.744;-439.263.416
29767;-198.187.966;-439.534.866
30099;-198.630.917;-439.597.997
29436;-199.223.318;-439.589.173
29160;-199.141.676;-439.376.429
29836;-199.116.551;-439.209.385
29840;-199.386.622;-440.055.718
29187;-199.227.465;-439.237.406
29537;-198.683.826;-440.004.485
29544;-199.162.948;-439.182.816
29556;-198.809.841;-439.283.326
30250;-198.463.158;-439.737.447
29596;-199.472.821;-439.259.077
33094;-198.599.963;-439.198.854
33426;-198.483.238;-438.951.409
33733;-199.202.497;-439.210.977
33740;-198.710.362;-439.071.128
34063;-198.937.008;-439.362.949
34066;-199.285.176;-439.067.028
33119;-198.700.667;-439.934.981
33750;-199.320.112;-439.463.228
33767;-19.869;-439.915.976
34149;-198.258.515;-440.014.206
34160;-199.804.115;-440.135.109
33127;-198.271.418;-439.681.457
33783;-199.142.953;-439.886.957
34231;-199.412.435;-439.164.683
33172;-199.139.841;-439.197.623
33180;-199.475.492;-439.312.652
33182;-198.466.261;-439.668.874
33813;-1.983.766;-439.462.359
33199;-199.114.155;-43.905.653
33838;-199.902.871;-440.364.495
34194;-199.325.077;-439.266.528
34200;-199.125.501;-439.482.191
33208;-198.928.919;-439.690.395
33250;-199.954.179;-440.194.109
33577;-19.894.145;-439.032.383
33872;-199.340.983;-439.441.535
33884;-19.840.513;-43.966.263
33586;-199.186.127;-439.513.912
33911;-199.318.539;-439.244.648
34211;-199.254.087;-440.092.971
33278;-19.849.819;-439.286.725
34291;-1.987.944;-439.593.801
33295;-198.857.664;-439.210.642
33302;-199.149.895;-439.127.511
33307;-199.117.851;-439.023.619
34095;-200.029.578;-440.355.291
33327;-198.135.817;-439.595.068
33656;-199.357.962;-439.486.549
33661;-199.094.205;-439.158.068
34121;-19.902.063;-438.996.038
33333;-198.075.614;-439.393.238
33988;-199.014.135;-439.863.369
33699;-198.982.861;-440.135.905
33998;-199.084.211;-438.921.179
34005;-199.428.826;-439.294.365
34016;-198.851.755;-440.057.423
33053;-198.709.788;-440.036.654
33394;-199.217.543;-439.447.993
33714;-198.774.274;-440.123.351
34028;-198.152.539;-439.696.626
33415;-199.470.184;-439.420.964
32559;-199.520.399;-43.999.855
32237;-198.510.558;-438.989.848
32241;-198.926.963;-438.984.015
32592;-199.014.234;-439.250.057
32272;-199.083.269;-439.145.881
32273;-199.017.691;-439.211.809
32638;-198.944.486;-439.033.744
32659;-198.941.903;-440.094.195
31986;-198.017.154;-439.714.434
31992;-199.121.372;-439.210.181
33010;-199.246.402;-439.122.142
33011;-19.843.663;-439.299.691
33015;-198.743.441;-439.261.621
32377;-198.919.994;-439.975.792
32379;-199.233.531;-43.939.773
32048;-198.976.009;-440.058.981
32397;-199.321.675;-439.370.587
32400;-19.862.481;-439.357.338
32738;-199.757.611;-440.143.761
32065;-19.926.068;-439.927.572
32073;-198.774.471;-439.142.761
32476;-19.805.963;-439.401.144
32820;-199.249.354;-439.443.599
32159;-198.984.124;-438.935.395
32850;-199.260.875;-439.261.851
31846;-199.209.687;-43.976.747
32178;-19.927.225;-43.918.735
35731;-198.611.551;-439.150.166
36048;-198.207.331;-439.810.747
36379;-198.625.598;-43.881.383
35732;-198.625.679;-43.915.303
35738;-19.892.137;-438.977.211
36396;-199.467.251;-439.460.349
36778;-19.921.523;-439.073.018
35758;-200.005.606;-440.335.289
35765;-19.825.559;-440.006.506
36811;-198.671.545;-439.258.165
36109;-199.143.435;-439.115.887
36137;-199.095.563;-439.722.245
36143;-198.677.692;-438.988.818
36152;-198.948.487;-43.898.423
36480;-19.921.095;-439.869.816
36827;-199.156.666;-440.041.302
35846;-19.925.852;-439.335.244
35847;-198.630.917;-439.597.997
35848;-198.630.917;-439.597.997
35849;-198.630.917;-439.597.997
35855;-199.009.859;-439.156.899
36888;-199.429.289;-439.263.302
36894;-199.199.539;-440.208.902
35862;-199.643.945;-440.006.442
36207;-198.343.958;-439.494.958
36516;-199.009.859;-439.156.899
36231;-198.985.471;-439.489.389
36233;-198.592.146;-438.750.605
36242;-198.570.358;-439.587.663
36547;-198.707.202;-440.083.552
36725;-199.189.196;-439.411.104
36726;-199.087.177;-439.637.057
36590;-199.429.289;-439.263.302
36750;-199.470.193;-440.009.284
36617;-198.008.324;-439.375.687
36624;-199.017.691;-439.211.809
35686;-19.920.504;-439.019.031
36013;-198.939.544;-438.964.982
